eps,delta_u1,delta_su2,C_G_u1,C_G_su2
0.0,5.073999357628615e-19,1.558411836978201e-17,1.0,0.9999999999999999
0.015,0.005148182655239756,0.005453413941284315,0.9745875595993997,0.9731013209333237
0.03,0.010287788574307722,0.010898282169817948,0.9498616440161256,0.9469666424622937
0.045,0.015410261657697873,0.016326080253274415,0.9258423490014775,0.9216125225777225
0.06,0.020507087037835887,0.021728326278765486,0.9025461672920955,0.8970518351176191
0.075,0.02556981159166767,0.027096602009157107,0.8799861960336288,0.8732940000275143
0.09,0.030590064329536412,0.03242257391564238,0.8581723533409717,0.8503452210170943
0.105,0.03555957661968105,0.037698014045892396,0.8371116007944372,0.8282087273204313
0.12,0.04047020220817781,0.04291482068759303,0.8168081689318081,0.8068850165626443
0.135,0.0453139369947583,0.04806503878778321,0.7972637830713591,0.7863720960428238
0.15,0.05008293852567473,0.05314088008914166,0.7784778870836138,0.7666657200541791
0.16499999999999998,0.05476954516564246,0.05813474294521845,0.7604478630134444,0.7477596211712085
0.18,0.05936629491187848,0.06303923177758193,0.7431692447336379,0.7296457337346743
0.195,0.06386594381436758,0.06784717613894331,0.7266359240815535,0.7123144080537245
0.21,0.06826148396773363,0.07255164934753766,0.7108403481881295,0.6957546141169006
0.22499999999999998,0.07254616104146824,0.07714598665937564,0.6957737069502251,0.6799541338571824
0.24,0.07671349131678247,0.08162380294643885,0.6814261098207878,0.664899741248586
0.255,0.08075727819999658,0.08597900985047335,0.6677867512950267,0.6505773697218433
0.27,0.08467162818417935,0.09020583238374053,0.654844064653673,0.6369722665736801
0.285,0.08845096623269379,0.09429882494991461,0.6425858636860704,0.6240691342080729
0.3,0.09209005056040936,0.09825288676027423,0.6309994722563521,0.6118522581889971
