channel,n_samples,mean_Delta,std_Delta
identity,10,0.0,0.0
identity,25,0.0,0.0
identity,50,0.0,0.0
identity,100,0.0,0.0
amp_damp_eps=0.2,10,0.027839193519256275,0.001996757559580175
amp_damp_eps=0.2,25,0.027724409273287634,0.0012167246879007893
amp_damp_eps=0.2,50,0.02783370589497444,0.0005197588087310162
amp_damp_eps=0.2,100,0.028110405735125802,0.0008002504110785757
coherent_X_eps=0.2,10,0.07218827817202216,0.003895762587101375
coherent_X_eps=0.2,25,0.06889114489044339,0.0056341292049902954
coherent_X_eps=0.2,50,0.06973987661713328,0.0022802732398926762
coherent_X_eps=0.2,100,0.07185251384800445,0.002049129895616349
depol_p=0.2,10,1.7707531625517352e-17,7.168572620257415e-19
depol_p=0.2,25,1.7740669467212567e-17,8.831807922332109e-19
depol_p=0.2,50,1.7269261854939574e-17,5.867195749901387e-19
depol_p=0.2,100,1.765883303098387e-17,3.4880057903418594e-19
