eps,delta_depolarising,delta_amp_damp,delta_coherent_X_q0,C_G_depolarising,C_G_amp_damp,C_G_coherent_X_q0
0.0,0.0,0.0,0.0,1.0,1.0,1.0
0.015,6.801623435255986e-20,8.78690119997268e-20,0.005296982059328001,1.0,1.0,0.9738627390245069
0.03,1.2847899949351581e-19,1.7180551410630698e-19,0.010585139486611658,1.0,1.0,0.9484504821696688
0.045,2.0747934740058723e-19,2.687718764625034e-19,0.015855668882939874,1.0,1.0,0.9237827588851173
0.06,2.7654416085201884e-19,3.481131668279284e-19,0.02109980927307166,1.0,1.0,0.899875330998663
0.075,4.051094384562048e-19,5.271435239793341e-19,0.026308863210905847,1.0,1.0,0.8767404206005759
0.09,4.1888050824964227e-19,5.863822548091367e-19,0.03147421775766377,1.0,1.0,0.8543869465661669
0.105,5.333933200091341e-19,6.751103559902676e-19,0.036587365290942246,1.0,1.0,0.8328207663156734
0.12,6.118376836879455e-19,7.598566405063458e-19,0.04163992410329717,1.0,1.0,0.8120449197052558
0.135,9.090105504408529e-19,8.964214957418945e-19,0.046623658749647814,1.0,1.0,0.7920598722511675
0.15,9.875416388460208e-19,1.1426322384711777e-18,0.05153050010354992,1.0,1.0,0.7728637552031906
0.16499999999999998,1.1062192325924294e-18,1.2348226228833594e-18,0.05635256508327048,1.0,1.0,0.7544526002964715
0.18,1.0045613819384552e-18,1.2742739211257285e-18,0.061082176009613735,1.0,1.0,0.7368205673170779
0.195,1.0573165801492178e-18,1.42854400534906e-18,0.06571187955859355,1.0,1.0,0.7199601629110488
0.21,1.1948131592437512e-18,1.4626616045579082e-18,0.07023446527332894,1.0,1.0,0.7038624493454251
0.22499999999999998,1.3516837832742057e-18,1.550902003201716e-18,0.07464298360095406,1.0,1.0,0.688517242189656
0.24,1.2867278493113603e-18,1.5484677375055898e-18,0.07893076342189084,1.0,1.0,0.673913296124598
0.255,1.4115552576718856e-18,1.9631409598319554e-18,0.08309142904053007,1.0,1.0,0.6600384783025579
0.27,1.5324956345478227e-18,2.0578498700115037e-18,0.08711891660821455,1.0,1.0,0.6468799288746445
0.285,1.4805242616309123e-18,2.0578878428469e-18,0.09100748995141979,1.0,1.0,0.6344242084708327
0.3,2.28635199614588e-18,2.1209236216733827e-18,0.09475175578019178,1.0,1.0,0.6226574325638758
